"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,030",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,020",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","890",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","990",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,170",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,210",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,260",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,170",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,170",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,340",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","965",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,410",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,270",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,270",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,280",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,560",""
"SURVEY","1998","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,560",""
"SURVEY","1997","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,620",""
"SURVEY","1996","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,190",""
"SURVEY","1995","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","980",""
"SURVEY","1994","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","980",""
"SURVEY","1993","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","690",""
"SURVEY","1992","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","600",""
"SURVEY","1991","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,170",""
"SURVEY","1990","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,170",""
"SURVEY","1989","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,390",""
"SURVEY","1988","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","930",""
"SURVEY","1987","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","880",""
"SURVEY","1986","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,500",""
"SURVEY","1985","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,120",""
"SURVEY","1984","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,030",""
"SURVEY","1983","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,560",""
"SURVEY","1982","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","520",""
"SURVEY","1981","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,300",""
"SURVEY","1980","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","850",""
"SURVEY","1979","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,220",""
"SURVEY","1978","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","880",""
"SURVEY","1977","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,140",""
"SURVEY","1976","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,060",""
"SURVEY","1975","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","930",""
"SURVEY","1974","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","615",""
"SURVEY","1973","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,220",""
"SURVEY","1972","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,520",""
"SURVEY","1971","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,220",""
"SURVEY","1970","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,590",""
"SURVEY","1969","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,420",""
"SURVEY","1968","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,780",""
"SURVEY","1967","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,550",""
"SURVEY","1966","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,170",""
"SURVEY","1965","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,970",""
"SURVEY","1964","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,550",""
"SURVEY","1963","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,410",""
"SURVEY","1962","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,780",""
"SURVEY","1961","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,630",""
"SURVEY","1960","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,410",""
"SURVEY","1959","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,200",""
"SURVEY","1958","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,850",""
"SURVEY","1957","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","3,690",""
"SURVEY","1956","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,290",""
"SURVEY","1955","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,900",""
"SURVEY","1954","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","3,500",""
"SURVEY","1953","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,950",""
"SURVEY","1952","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,980",""
"SURVEY","1951","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,830",""
"SURVEY","1950","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,770",""
"SURVEY","1949","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,590",""
"SURVEY","1948","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,180",""
"SURVEY","1947","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,590",""
"SURVEY","1946","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COFFEE","COFFEE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,550",""
